bedrooms;bathrooms;sqft_lot;floors;grade;sqft_above;sqft_basement;yr_built;lat;long;sqft_living15;sqft_lot15;caro;Deu certo
3;3.5;37982;2;8;1;0;1996;476.982;-121.917;1;0;0;S
4;4;871200;2;11;1;1940;2003;47.676;-121.882;1;1;0;S
5;3.5;52595;2;7;1;0;1989;476.832;-121.907;0;0;0;N
3;2.5;203860;1.5;9;1;0;1994;476.903;-121.929;1;1;0;S
3;3.25;38509;2;10;1;0;1998;47.693;-121.868;0;0;1;N
4;3.5;85728;2;11;1;0;1998;47.615;-121.954;1;0;0;S
3;3;19023;2;11;1;0;1985;476.953;-121.914;0;0;0;N
4;4.25;68257;2;11;1;0;1998;476.113;-121.952;1;1;1;N
5;4.5;142725;3;11;1;0;2000;476.085;-121.952;1;1;1;N
4;5.5;871200;2;11;1;0;2008;47.664;-121.878;0;1;1;S
